Initial weights:
  mobility: 140.00
  psqt: 10.00
  frontier: 40.00
  parity: 90.00
  corners: 800.00
  corner_closeness: 40.00
Starting TD(λ) training for 5000 episodes...
Parameters: α=0.0001, λ=0.7, ε=0.15, search=2@30ms
Episode 0/5000  elapsed 0.0s
Episode 3220/5000  elapsed 2637.1s
Episode 3230/5000  elapsed 2645.1s
Episode 3240/5000  elapsed 2652.6s
Episode 3250/5000  elapsed 2659.5s
Episode 3260/5000  elapsed 2666.4s
Episode 3270/5000  elapsed 2673.4s
Episode 3280/5000  elapsed 2680.5s
Episode 3290/5000  elapsed 2687.2s
Episode 3300/5000  elapsed 2693.9s
Episode 3310/5000  elapsed 2701.5s
Episode 3320/5000  elapsed 2708.7s
Episode 3330/5000  elapsed 2718.5s
Episode 3340/5000  elapsed 2726.1s
Episode 3350/5000  elapsed 2734.9s
Episode 3360/5000  elapsed 2742.1s
Episode 3370/5000  elapsed 2750.3s
Episode 3380/5000  elapsed 2757.1s
Episode 3390/5000  elapsed 2764.4s
Episode 3400/5000  elapsed 2772.0s
Episode 3410/5000  elapsed 2778.7s
Episode 3420/5000  elapsed 2784.8s
Episode 3430/5000  elapsed 2794.0s
Episode 3440/5000  elapsed 2804.9s
Episode 3450/5000  elapsed 2811.9s
Episode 3460/5000  elapsed 2818.1s
Episode 3470/5000  elapsed 2826.1s
Episode 3480/5000  elapsed 2833.9s
Episode 3490/5000  elapsed 2840.9s
Episode 3500/5000  elapsed 2847.4s
Episode 3510/5000  elapsed 2855.3s
Episode 3520/5000  elapsed 2864.3s
Episode 3530/5000  elapsed 2872.3s
Episode 3540/5000  elapsed 2878.7s
Episode 3550/5000  elapsed 2885.8s
Episode 3560/5000  elapsed 2892.2s
Episode 3570/5000  elapsed 2917.3s
Episode 3580/5000  elapsed 2925.1s
Episode 3590/5000  elapsed 2932.4s
Episode 3600/5000  elapsed 2938.4s
Episode 3610/5000  elapsed 2944.6s
Episode 3620/5000  elapsed 2952.2s
Episode 3630/5000  elapsed 2959.7s
Episode 3640/5000  elapsed 2967.2s
Episode 3650/5000  elapsed 2976.2s
Episode 3660/5000  elapsed 2982.3s
Episode 3670/5000  elapsed 2988.6s
Episode 3680/5000  elapsed 2995.1s
Episode 3690/5000  elapsed 3001.9s
Episode 3700/5000  elapsed 3010.1s
Episode 3710/5000  elapsed 3018.2s
Episode 3720/5000  elapsed 3025.9s
Episode 3730/5000  elapsed 3033.1s
Episode 3740/5000  elapsed 3041.0s
Episode 3750/5000  elapsed 3047.5s
Episode 3760/5000  elapsed 3055.3s
Episode 3770/5000  elapsed 3061.1s
Episode 3780/5000  elapsed 3068.5s
Episode 3790/5000  elapsed 3076.2s
Episode 3800/5000  elapsed 3084.2s
Episode 3810/5000  elapsed 3090.7s
Episode 3820/5000  elapsed 3097.6s
Episode 3830/5000  elapsed 3106.3s
